freq,sectperf,prof_pos,sex,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,HES,TOTAL,T,FTE,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	282164.1 e	301698.3 e	292759.1 e	339092.6 e	: 	349427.5 e	365221.9 e	365459.3 e	382745.7 e	394237 e	413310 e	426194.2 e	434166 e	441143.2 e	450509.7 e	463296.8 e	479761.8 e	499148.3 e	526093.9 e	543579.6 e	555392.6 e	553518.6 e	563538 e	572230.2 e	575613.2 e	587587 e	596274.7 e	607177 e	616513.4 e	629889.4 e	650988.3 e	674379.6 e	697371.4 e	717883.2 e	739416.5 e
A,HES,TOTAL,T,FTE,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	282164.1 e	301698.3 e	292759.1 e	339092.6 e	: 	349427.5 e	365221.9 e	365459.3 e	382745.7 e	394237 e	420855.1 e	433486.6 e	441610 e	444851.2 e	455206.7 e	467277.6 e	483813.6 e	503532.2 e	530734.3 e	548081 e	560001.5 e	557984.2 e	567952 e	576715.9 e	579794 e	592256.1 e	601652.9 e	612531.4 e	621855.8 e	635941.3 e	657172.2 e	680761.8 e	703345.2 e	723816.4 e	745285.9 e
A,HES,TOTAL,T,FTE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2217 	2209 	3043 	3077 	2907 	2305 	2319 	2565 	2454 	2752 	2176 	2290 	2406 	2389 	2688 	2465 	2735 	3000 	2850 	3102.6 	3062 	2969 	3015 	3232.6 	2956.9 	2855.6 	2869 	3000 	3319 	3616 
A,HES,TOTAL,T,FTE,EL	: 	: 	: 	1185 b	: 	: 	: 	1511 	: 	3066 b	: 	4320 	: 	6767 	: 	9415.1 b	: 	12294 	: 	17293.9 	: 	14241.1 	: 	14947.2 	: 	17400.5 	18952.2 e	19172 e	: 	: 	: 	20639.7 b	20507.8 	23390.2 	23923.6 	27383.5 	20404.2 	21985.9 	23431.4 	25240 	27613.1 	28368.4 	32347.6 	33335.3 	29767.8 p
A,HES,TOTAL,T,FTE,ES	11793 	12410 	12022 	13053 	13570 	13764 	14305 	15100 	21985 	22500 e	23654 e	25360 e	27553 e	29839 e	34642 e	34330 	38955 	36843 	41040 	40626 	49470.1 	54622.8 	54232.8 	60307.2 	63331.1 	66995.5 	70949.5 	75148.1 	78846.2 	81203 	83299.9 	80900.3 	77238.1 	74922.6 	73427.7 	73326.9 	75191.1 	79285.5 	80318.2 	83048.2 	84324.6 	88227 	92031 	98957 	103540 p
A,HES,TOTAL,T,FTE,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	296944.9 e	346763.7 e	321585.7 e	389178.6 e	: 	429118.5 e	452494.4 e	451588.9 e	471951.1 e	482735 e	510031.5 e	525274.6 e	539083 e	545169.2 e	558411.7 e	570623.3 e	586640.6 e	609030.7 e	641821 e	661571.2 e	676754.4 e	678143.3 e	690278.5 e	698519.8 e	705956.3 e	718012.9 e	734193.1 e	756877.7 e	776690.2 e	798883.6 e	820824.5 e	845927.6 e	874340 e	891910.9 e	914382.7 e
A,HES,TOTAL,T,FTE,FI	: 	4950 b	: 	5483 	: 	5890 	: 	6698 	: 	7362 	: 	7662 	: 	8422 	8582 	9146 	: 	11855 b	13653 	14840 	15459 	15596 	16884 	17486.4 	17822.3 	17453.4 	17362.3 	16503.5 	15968 	16490.4 	17923.6 	15846.6 b	16146.3 	15726.2 	16033.9 	15514.5 	15157 	16007.2 	16417.6 	17002.1 	17060.8 	16970 d	18087 d	18969 d	19845 d
A,HES,TOTAL,T,FTE,FR	: 	55200 b	55865 	57216 	58537 	59061 	59528 	59376 	62218 	63262 	63502 	66079 	72625 	74876 	78132 	80678 	81538 	79926 b	82177 	83254 	90051 b	91944 	94198 	95234.2 	97036.3 	98742.8 	101073.1 	102615.5 	104961.2 	105048.1 	106584.7 	107890.7 	108794 	109883 	111700.2 	117794.3 	119367 	119788 	119932 	120972.7 	129998 	133361 	136526 	139976 	142254.8 p
A,HES,TOTAL,T,FTE,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7444 	3708 	4697 	3980.8 	4051.8 	4383.9 	4640.4 	4501.4 	4608.9 	4465.6 	4414 	4485.7 	4180.7 	4669.1 	5378.2 	5354.4 	5342.4 	6051.9 	6183.9 	6382.2 	5973.8 	5933.2 	5869.4 p
A,HES,TOTAL,T,FTE,HU	4955 	7521 	7946 	7743 	7878 	7980 	7884 	8022 	8706 	8669 	8843 	8458 	7917 	7776 	7611 	6310 	6558 	7210 	7561 	7452 	8859 	8397 	8528 	8272 	8527 	8194 	8523 	7778 	7980 	8372 	8256 	8260 	8130 	8154 	7937 	7706 	7476 	8442 	12994 b	14111 	14703 	14303 	15390 	13958 	12909 p
A,HES,TOTAL,T,FTE,IE	: 	1056 	1120 	1210 	1326 	1258 	1179 	1573 	1831 	2190 e	2549 	2744 e	3010 	2150 be	2127 	2292 e	2469 	2658 e	2847 	2724 e	2602 	2891 b	3178 	4009 	4841 	5220 	5612 	6000 e	7141 	6698 	6501 	6437 e	13050 	13949 	14847 	12718 	15177.8 	13211 	10974 	12002 	13030 	14237 e	16030 e	15721 e	16264 p
A,HES,TOTAL,T,FTE,IS	: 	237.6 	: 	241.6 	: 	283.5 	: 	260.5 	: 	321.5 	317.1 	396.6 	420.2 	373.6 	384.8 	530.2 	408 	656.3 	676 e	712.3 	723 e	742.3 	764.6 e	728 	: 	742 	833 	773.1 	807.9 	1119.1 	: 	1057 b	: 	1211.1 b	1231.9 	: 	: 	1091 	998 	: 	: 	1234 	1231 u	1183 	1254 d
A,HES,TOTAL,T,FTE,IT	: 	32125 	34991 	39368 	36242 	37022 	39136 	42943 	43069 	44042 	44312 	45593 	46529 	47014 	47950 	48427 	49148 	49031 e	52852 b	52025 	54837 	58869 	60287 	59406 	60694 	66975.7 b	67688.3 	71062.5 	72473.5 	74949.3 	72298.6 	73722.9 	76207.4 	76985.8 	75235 	76857.8 e	80226.4 e	80357.9 e	81233.4 e	83776.1 e	82670.6 e	86014 e	89735 e	95559 e	106541 ep
A,HES,TOTAL,T,FTE,JP	212362 d	214077 d	222565 d	228331 d	232419 d	237148 d	240206 d	245977 d	250430 d	255487 d	259417 d	264055 d	271509 d	279046 d	284243 d	290549 d	217558 bd	222285 d	225179 d	227562 d	227882 d	227339 d	197195 d	201088 d	208089 d	209734 d	214006 d	215269 d	181946 bd	184951 d	188324 d	192265 d	195043 d	207766 bd	209101 d	208579 d	210683 d	212212 d	210100 bd	211602 d	212150 d	223354 d	224086 d	225103 d	: 
A,HES,TOTAL,T,FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31511 d	28274 d	28546 d	34753 d	36534 d	36209 d	32442 d	35493 d	40719 d	41078 	42157 d	44150.3 d	60656 b	60371.9 	66779.1 	73510.9 	73467.6 	77098.8 	73196.5 	74861.5 	72745.5 	72482.3 	70037.4 	71333.3 	71726.8 	77673.5 	79666.7 	91438.9 	96451.4 	: 
A,HES,TOTAL,T,FTE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6192 	6020 	6659 	6827 	6248 	6615 	5712 	5827 	6535 	6699 	7237 	7350 	7609 	7470 	7692 	6859 	6514 	6452 	6260 	5737 	5895.3 	5386.6 	5318.9 	5876.3 	6605.8 	6912.9 	6969.3 	6347.9 d	6840.1 p
A,HES,TOTAL,T,FTE,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23 	34.5 	: 	34 e	150.6 	169.4 	192.8 	209.4 e	326.9 	484.6 	547.7 	630.5 	722.8 	865.8 	989.4 	1057.4 	1096.9 	1163.9 	1209.9 	1343.3 	1445.3 	1589.4 	1662.4 	1820.5 	1836.9 p
A,HES,TOTAL,T,FTE,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1771 	2025 	2169 	1953 	2143 	2439 	2483 	2890 	3030 	2908 	2976 	3208 	2856 	3482 	3879 	3776 	3246 	3285 	3393 	3538 	3237 	3177 	3241 	3147 	3448 	3553 	3721 	4063 	4069 	3862 	3713 	3968 
A,HES,TOTAL,T,FTE,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237.1 	: 	253 	271.7 	398.6 	373.6 	362.7 	371.4 	284.8 	: 	305.3 p	308.8 p	320.9 p	673 p
A,HES,TOTAL,T,FTE,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	630 	634 	642 	562 	508 	691.9 	605.1 	877.6 	971.7 	1273.1 	1412.6 	1343.8 	1129.3 	1224.7 	1136 	1173.2 	: 	908.3 	2886 	: 
A,HES,TOTAL,T,FTE,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265 	283.7 	288.3 	292 	307.3 	310 	335 	288 	311 	319 	358.3 	418.7 	456.3 	462.3 	452 	482.7 	509.7 	568 	596 	660 	693 	732 	773 
A,HES,TOTAL,T,FTE,NL	: 	13060 	16030 b	15880 	16030 	16180 	16550 	16780 	16990 	17270 	25380 b	25730 	26170 	26530 	26038 	24888 	24398 	24411 	24165 	29588 b	30078 	30685 	30793 	31370 	32095 	32305 	32229 	32402 	33231 	34122 	34981 	32197.5 	31951.6 	32331 b	33237 	33604 	33300 	34350 	34742 	35963 	38433 	40473 	40469 	43211 	43211 p
A,HES,TOTAL,T,FTE,NO	: 	4939 	4960 e	4978 	5080 e	5254 	: 	5334 	: 	5784 	: 	5973 b	: 	6658 	: 	6955 	: 	7062 	: 	7313 	: 	7484 	7760 	7918 	8500 	9420 	9870 	11011 b	11341 	11655 	11968 	12283 	12413 	12715 	13010 	13952 	14937 	15675 	16237 	16957 	16126 	17994 	18021 	17409 	17000 
A,HES,TOTAL,T,FTE,PL	17100 	17600 	17500 	17100 	17500 	17700 	15900 	: 	: 	: 	: 	: 	: 	: 	32745 	35621 	39046 	40977 	42478 	42948 	41499 	42385 	43752 	44455 	45572 	44762.5 	41535.1 	42594.9 	43478.9 	41439.6 	43110.5 	44154.4 	42917.3 	41440.7 	44303.7 	44961.2 	51652.4 	65324.9 	70171.9 	73196.4 	72159 	73941 	74075.9 	74069.9 	74500 p
A,HES,TOTAL,T,FTE,PT	: 	: 	2329.8 	2564.5 e	2799.1 	3299.1 e	3799.1 	3990.8 e	4182.4 	4511.3 e	4840.1 	5544.4 e	6248.7 	6326.2 e	6404.7 e	6484.2 b	7463.1 e	8441.9 	8814.4 e	9186.9 	9679.9 e	10172.9 	10659.9 e	11146.9 	11413.7 e	11680.4 	12853.8 e	14027.2 	24411.5 b	24965.1 	25091.7 	24491.4 	24513.2 	27752.7 b	26870.4 	27001.2 	28265.1 	30077.9 	31450.5 	31556.4 	31504.9 	31097 	31998.6 	33479 	33959.5 p
A,HES,TOTAL,T,FTE,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1991 	1755 	2349 	3554 	4318 	5826 	3315 	3780 	4288 	5470 	6537 	6917 	6803 	7101 	6931 	8433 	8824 	9054 	8879 b	8710 	9523 	8966 	9008 	8627 	8416 	7695 	7600 	8862 	8326 	8807 	8839 	9141 p
A,HES,TOTAL,T,FTE,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10589.9 	10564.8 	11035.4 	11668.2 	11421.4 	11808.3 	11670.6 	13080.8 	12681 	12462.5 	12608.6 	12234.3 	12767.5 	12671 	13425 	13977 	14220 
A,HES,TOTAL,T,FTE,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133170 	116404 	106344 	102627 	96507 	102037 	99552 	103194 	98239 	99299 	99402 	97672 	100990 	105643 	106816 	106443 	113353 	121151 	119360 	118971 	121526 	121680 	: 	101628 	107756 	116732 	: 	: 	: 	: 	: 
A,HES,TOTAL,T,FTE,SE	: 	11500 b	: 	12300 	: 	13600 	: 	13700 	: 	17283 	: 	16810 	: 	17438 b	: 	17301 	: 	18197 	: 	19175 	: 	19837 	: 	21495 	21910 	17686 b	17137 	17525 	17601 e	18857 	19471 e	20010 	21781 e	21004 	22410 e	21435 	21918 e	20196 	19453 	22080 	21555 	20992.3 b	21682 	22329.6 	22446 
A,HES,TOTAL,T,FTE,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2725 e	2898 	3022 e	1969 	1443 	1516 	1606 	1746 	1783 	1651 	1429 	1482 	2099 	2116 	1950 	2106 	2354 	2727 	3003 b	2926 	2805 	2667 	2555 	2321 	2395 	2658.8 	2887.7 	2910.7 	3108.7 	3103 	3394 	3296 
A,HES,TOTAL,T,FTE,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4285 	4543 	4521 	5041 	5514 	5063 	5860 	5679 	5339 	5857 	7285.4 	7146.3 	8137.6 	8493.1 	8608.7 	9360.3 	10535 	10711.8 	10123.9 	9968.5 	9297.2 	8815.1 	8623.4 	9055.6 	9619.9 	9995.9 	10233.6 	9874.4 	9816 	9958.8 	10199.7 
A,HES,TOTAL,T,FTE,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16798 e	17544 e	24226 e	24742 e	25433.9 e	26712.7 e	29543.2 e	29911.7 e	31037.1 e	32912.6 e	35644.5 e	40800.7 e	42574.3 e	41268.7 e	37909 	54799 	59300 	63064 	71135 	78409 	84678 	90418 	91420 	: 
A,HES,TOTAL,T,FTE,UK	: 	52000 	52000 	51000 	51000 	52000 	52000 	53000 	55000 	55000 	57000 	59000 	62000 	66000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	152634.2 be	158109.2 e	161492 e	163529.1 e	168936.1 e	170446.4 e	175185.3 e	173498.5 e	177767.2 e	183022.8 e	186724.2 	186769.9 	190078.4 	190526.2 	191795 p	: 	: 	: 	: 	: 
A,HES,TOTAL,T,FTE,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	457440 	471904 	500603 	518383 	: 
A,HES,TOTAL,T,HC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2943 	3059 	: 	: 
A,HES,TOTAL,T,HC,AT	: 	13598 	: 	: 	: 	15358 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21933 	: 	: 	: 	25072 	: 	29358 	: 	32715 	35269 	: 	39084 	: 	42291 	: 	44601 	: 	47562 	: 	48363 	: 	52663 	: 	53198 	: 	55241 	: 
A,HES,TOTAL,T,HC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	874 	1388 	2596 	: 	: 	: 	: 	2271 	2009 	1948 	: 	: 	: 
A,HES,TOTAL,T,HC,BE	: 	18124 e	18464 e	18402 e	18342 e	18496 e	18588 e	18454 e	18714 e	24355 e	: 	24791 e	: 	20915 e	21673 e	21851 e	21410 e	22489 e	24456 e	26585 e	26606 e	: 	31205 	31284 	34596 	35515 	36974 	38258 	39766 	41035 	41482 	42341 	42356 	42981 	46804 	44858 	45867 	46389 	50190 	50161 	48884 	53144 	54696 	55588 	: 
A,HES,TOTAL,T,HC,BG	10882 	10767 	10520 	11334 	11821 	12417 	12899 	13389 	14022 	14322 	17160 	18721 	21926 	23265 	11579 	11214 	10800 	4821 	4449 	4020 	3166 	3616 	3913 	3920 	4338 	5030 	4976 	5956 	6415 	8031 	7710 	8258 	8368 	8279 	9795 	9325 	10025 	9287 	9765 	9376 	9492 	9640 	9643 	10173 	: 
A,HES,TOTAL,T,HC,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37700 	: 	23271 	: 	43195 	: 	41955 	: 	44675 	: 	47465 	: 	52965 	: 	60141 	: 	64182 	: 	: 	65685 	: 	68235 	: 	72121 	: 	75643 	76540 d	78306 	: 
A,HES,TOTAL,T,HC,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	509366 	593569 	631772 	677787 	715430 	762794 	838786 	851764 	913590 	984292 	1233180 	1273926 	1407976 	1518988 	1855250 	: 
A,HES,TOTAL,T,HC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	300 	321 	378 	405 	494 	601 	757 	885 	918 	972 	966 	1118 	1232 	1436 	1449 	1764 	1702 	1685 	1674 	1751 	1870 	2030 	2067 	2104 	: 	2103 	: 
A,HES,TOTAL,T,HC,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13284 	13459 	15436 	15996 	16564 	17333 	17361 	17577 	17877 	19725 	24596 	25255 	26735 	26993 	27694 	27844 	29149 	30301 	32173 	32680 	33891 	31915 	34234 	36177 	37442 	37871 	38865 	38129 	37759 d	37535 dp
A,HES,TOTAL,T,HC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	246751 	242128 	244050 	252761 	261478 	271627 	290793 	303257 	312537 	323394 	335928 	340112 	343660 	345145 b	352264 	359808 	364216 	372986 	381689 d	: 	386294 	: 
A,HES,TOTAL,T,HC,DK	: 	: 	: 	: 	: 	9002 	: 	9813 	: 	10555 	: 	8674 	: 	11651 	: 	12948 	: 	15007 	: 	14147 	14463 	15404 	18929 b	19406 	20348 	22376 	22495 	24381 b	28279 	32600 	33559 	35512 	36216 	37539 	36042 	36645 	35088 	34796 	36429 	36200 p	36399 p	: 	: 	43195 	: 
A,HES,TOTAL,T,HC,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	261350 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	879566 e	897265 e	930079 e	967179 e	992230 e	1048580 e	1076947 e	1099828 e	1106675 e	1124716 e	1144650 e	1144222 e	1156692 e	1142151 e	1165488 e	1189706 e	1212583 e	1237893 e	1271077 e	: 	1328829 e	: 
A,HES,TOTAL,T,HC,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	261350 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	889058 e	907373 e	938928 e	976086 e	1001838 e	1058473 e	1086494 e	1110247 e	1116164 e	1133881 e	1153979 e	1153183 e	1166413 e	1152970 e	1176874 e	1201271 e	1225586 e	1251217 e	1285218 e	: 	1342124 e	: 
A,HES,TOTAL,T,HC,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5026 	4979 	5169 	3325 	3378 	4339 	4475 	4220 	4442 	4647 	4694 	4813 	4894 	4591 	4949 	5303 	5338 	5543 	5669 	5713 	6076 	6247 	6342 	6001 	5577 	5590 	5642 	5660 	6211 	6481 	6605 	7033 	: 
A,HES,TOTAL,T,HC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	10113 	: 	13168 	: 	18811 	: 	20658 	: 	27572 	: 	40414 	: 	33507 	: 	35088 	: 	40486 	: 	: 	: 	: 	: 	46348 b	: 	54602 	: 	55467 	: 	45206 	: 	51319 	55193 	56626 	60178 	61901 	: 
A,HES,TOTAL,T,HC,ES	: 	: 	: 	: 	: 	: 	: 	: 	37555 	46647 	49022 	53759 	59153 	62191 	76071 	89947 	: 	91721 	: 	101231 	114434 	120918 	126275 	131725 	135027 	139717 	148993 	155044 	158941 	162749 	168111 	165043 	157297 	150582 	150945 	153014 	153148 	157815 	159943 	164227 	165729 	170617 	174931 	181065 	: 
A,HES,TOTAL,T,HC,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	310381 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1051674 e	: 	1106543 e	1135447 e	1163105 e	1199064 e	1231987 e	1292463 e	1330261 e	1357505 e	1368089 e	1389554 e	1409386 e	1412605 e	1422971 e	1411921 e	1468394 e	1511594 e	1542274 e	1567832 e	1608166 e	: 	1672310 e	: 
A,HES,TOTAL,T,HC,FI	: 	: 	: 	: 	: 	: 	: 	10850 	: 	11689 	: 	12410 	: 	13344 	: 	14721 	: 	16685 	18165 	20036 	20548 	21517 	23126 	24049 	25298 	25793 	27897 	28556 	28086 	28890 	29952 	30290 	29986 	29157 	28809 	28162 	27537 	28155 	29371 	30333 	31127 	33788 d	35353 d	36885 d	: 
A,HES,TOTAL,T,HC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	89097 	90738 	93903 	104766 	107561 	112853 	114469 	117858 	134295 	137836 	: 	134953 e	138197 e	148830 b	153131 	155347 	160552 	162209 	155245 	165697 	161962 	166970 	168061 	169776 	172700 	172522 	: 	174843 	174674 p	175592 p	: 	190829 	192353 	195585 	199982 	: 
A,HES,TOTAL,T,HC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9133 	9492 	10108 	8849 	8907 	9608 	9893 	9547 	10419 	9489 	9165 	9329 	8961 	9721 	10819 	11386 	11565 	13003 	13324 	14141 	13453 	13295 	: 
A,HES,TOTAL,T,HC,HU	22150 	21369 	22172 	22174 	22003 	22017 	22020 	22179 	22530 	22370 	22787 	22607 	22296 	22029 	21765 	20699 	20085 	22434 	24750 	24411 	25972 	26543 	27532 	27769 	29262 	28702 	27165 	25923 	26240 	25934 	24778 	24404 	23647 	23112 	22447 	21998 	21969 	23816 	31083 b	33600 	33539 	34196 	37835 	35484 	: 
A,HES,TOTAL,T,HC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9194 	9873 b	10917 	11500 	12175 	13400 	14871 	15600 e	16332 	16899 	16414 	15950 e	21599 	21651 	21704 	19274 	16843 	21852 	: 	20687 	: 	20745 e	: 	23716 e	: 
A,HES,TOTAL,T,HC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1061 	: 	1055 	: 	1111 	: 	1285 	1349 	1405 	1464 e	1523 	1468 	1323 	: 	1472 	1669 	1563 	1633 	1529 	: 	1926 b	: 	2477 b	: 	: 	: 	2739 	2681 	: 	: 	3114 	3129 u	3476 	: 
A,HES,TOTAL,T,HC,IT	: 	: 	: 	: 	: 	55280 	58102 	63908 	65689 	67256 	66669 	68983 	71106 	71860 	72735 	74942 	75442 	: 	107008 	105815 	111147 	119362 	122358 	120736 	123266 	136618 b	139217 	145417 	147615 	148055 	140573 	140874 	145066 	141580 	134203 	138152 e	138208 e	137339 e	137426 e	139999 e	137710 e	141721 e	146518 e	153802 e	: 
A,HES,TOTAL,T,HC,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	259417 d	264055 d	271509 d	279046 d	284243 d	290549 d	295816 d	301357 d	304992 d	308156 d	308525 d	330654 d	331499 d	335983 d	345274 d	349034 d	355687 d	358249 d	364244 d	369714 d	375160 d	380044 d	384397 d	388831 d	393086 d	393601 d	398821 d	402870 d	406787 d	410735 d	412809 d	427182 d	428928 d	433234 d	: 
A,HES,TOTAL,T,HC,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86665 d	92591 d	98052 d	100643 d	102501 d	111083 d	121039 d	123695 d	125039 d	132042 d	168547 b	167789 	174575 	188211 	186690 	184281 	181284 	187087 	185113 	185737 	185660 	192448 	194136 	207025 	210163 	222280 	233804 	: 
A,HES,TOTAL,T,HC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9213 	8729 	9144 	9235 	8841 	9206 	9483 	10452 	11797 	11505 	11752 	12872 	12997 	13309 	13280 	16492 	16584 	16527 	15975 	14860 	14438 	14051 	14040 	13652 	14227 	14014 	14124 	14205 d	: 
A,HES,TOTAL,T,HC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	54 	: 	54 e	: 	217 	297 	325 e	424 	612 	603 	687 	787 	935 	1329 	1435 	: 	1506 	: 	1683 	: 	2008 	: 	2263 	: 
A,HES,TOTAL,T,HC,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2979 	3173 	3285 	2932 	3416 	3829 	4149 	5030 	5137 	5220 	5302 	5694 	5474 	6317 	6969 	7120 	6272 	5979 	6779 	7559 	6929 	7142 	7632 	7676 	7898 	8276 	8637 	9207 	9135 	9568 	9377 	: 
A,HES,TOTAL,T,HC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1268 	: 	1296 	1448 	1243 d	1271 	1238 	1250 	1138 	: 	: 	: 	: 	: 
A,HES,TOTAL,T,HC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1865 	1771 	1802 	1586 	1433 	1488 	1569 	1889 	: 	: 	3296 	3136 	2853 	2965 	2815 	2849 	: 	2380 	: 	: 
A,HES,TOTAL,T,HC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	795 	841 	849 	876 	922 	930 	1005 	864 	933 	957 	1075 	1160 	1181 	1277 	1218 	1280 	1329 	1408 	1448 	1544 	1664 	1737 	: 
A,HES,TOTAL,T,HC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36355 b	37096 	37942 	37828 	38628 	39213 	38279 	38205 	38481 	39181 	40074 	40972 	37607 	37302 	37640 b	38676 	38988 	38434 	39522 	39951 	42117 	45027 	47220 	46928 	49847 	: 
A,HES,TOTAL,T,HC,NO	: 	: 	: 	: 	: 	7937 	: 	8098 	: 	11776 	: 	12745 	: 	14063 	: 	18192 	: 	19648 	: 	20069 	: 	21114 	22000 	21961 	: 	24205 	: 	27074 	28092 	28942 	29083 	29294 	29276 	30583 	31529 	33166 	34948 	36306 	36919 	37955 	38021 	40639 	41290 	41345 	: 
